Comment,Designator,Description,Footprint,JLCPCB Part #,Quantity

"TS-1187A-B-A-B","BOOT1, RST1","Switch","Ts-1187A","C318884","2"
"100nf 50V X7R 0603","C1, C2, C4, C6, C10, C13, C15, C16, C21","Capacitor","C_0603","C14663","9"
"10uF 25V X5R ±20% 0603","C3, C7, C11, C14, C20, C22","Capacitor","C_0603","C96446","6"
"1uf 50V X5R 0603","C5, C9, C12, C17, C18, C19","Capacitor","C_0603","C15849","6"
"330uF 10V ±20% SMD","C8","","Capa_elec_D<6.3","C58277","1"
"SS34","D1, D4, D5","Schottky Diode","SMA","C3003045, C8678","3"
"SMBJ15A","D2, D6","","SMB","C188412","2"
"LED 0603","D3, RX1, TX1","DEBUG","LED_0603","C2290","3"
"TVS 5,5V","D7","","SOT143-4","C3040626","1"
"SS14","D8","Schottky Diode","SMA","C2480","1"
"D Connector 9","J1","Receptacle Assembly, 9 Position, Right Angle","DB9","C141880","1"
"jumper","jumper1, jumper2","","jumper","C100114","2"
"Led RGB 2121","L1, L2","","LED RGB 2.1x2.1","C2874116","2"
"2.1A 68uH ±20%","L3","Magnetic-Core Inductor","Inductor_12.3x12.3","C9907","1"
"Header 2","P1","Header, 2-Pin","Header 1x2 SMD","C5160785","1"
"KF301-5.0-2P","P2, P5","Header, 2-Pin","Bornera_2vias","C474881","2"
"Header 3","P3, P7","Header, 3-Pin","Header 1x3 SMD","C41417360","2"
"Header 4","P4","Header, 4-Pin","HEADER 1x4","C2691448","1"
"MOLEX 1054500101","P6","","USB C MOLEX 1054500101","C134092","1"
"BSC059N04LS6","Q1, Q2","N-Channel MOSFET","TDSON-8-EP","C534356","2"
"SS8050","Q3, Q4","NPN Bipolar Transistor","SOT-23","C2150","2"
"120 1% 1206","R1","Resistor","R_1206","C17909","1"
"100K 1% 0603","R2, R5, R10, R16","Resistor","R_0603","C25803","4"
"470 1% 0603","R3, R4, R6, R7, R8, R17, R18, R19, R20, R21, R22, R24, R26, R27","Resistor","R_0603","C23179","14"
"330 1% 0603","R9","Resistor","R_0603","C23138","1"
"10 1% 0603","R11, R14","Resistor","R_0603","C22859","2"
"150 1% 0603","R12","Resistor","R_0603","C22808","1"
"0 1% 0603","R13","Resistor","R_0603","C21189","1"
"0 1% 1206","R15","Resistor","R_1206","C17888","1"
"12K 1% 0603","R23, R25","Resistor","R_0603","C22790","2"
"SW-SPDT","S1","SPDT Subminiature Toggle Switch, Right Angle Mounting, Vertical Actuation","Llave SS-12D10L5","C319012","1"
"ISO1042DWVR","U1","","SOIC8 - 300mil","C2671714","1"
"ESP32-WROOM-32D","U2","","ESP32","C529577","1"
"KAQY212STLD","U3","","SOP-4","C22379858","1"
"TLP117","U4","","SOP-5","C99473","1"
"LM2596SX-5.0/NOPB","U5","","TO-263-5","C10002","1"
"RFM0505","U6","","RFM0505","C22371855","1"
"LM1117IMPX-3.3/NOPB","U7","","SOT-223","C23984","1"
"CP2102N-A02-GQFN28R","U8","","28-QFN (5x5)","C964632","1"
